"","CRC.01.N.RNA","CRC.01.T.RNA","CRC.02.M.RNA","CRC.02.N.RNA","CRC.02.T.RNA","CRC.03.M.RNA","CRC.03.N.RNA","CRC.04.T.RNA","CRC.06.N.RNA","CRC.06.T.RNA","CRC.07.N.RNA","CRC.07.T.RNA","CRC.08.N.RNA","CRC.08.T.RNA","CRC.09.N.RNA","CRC.09.T.RNA","CRC.10.N.RNA","CRC.10.T.RNA","CRC.11.N.RNA","CRC.11.T.RNA","CRC.13.M.RNA","CRC.13.N.RNA","CRC.13.T.RNA"
"ENSG00000156042.13|TTC18",7.96986577342077,7.65665588965789,7.39654363984966,8.36691340237402,7.45873180960059,7.60703381616166,8.05166620917374,7.56348882648887,8.21797865255672,7.40854301052197,8.22345345204876,7.40306821102992,7.76487705215818,7.86164461092051,7.62432311495145,8.00219854812723,8.33890712721059,7.28761453586809,8.23222013121228,7.39430153186641,7.78342411022542,7.84012345079163,7.59864129080722
"ENSG00000122861.11|PLAU",12.0869382690212,12.6298669369723,13.0763353218553,11.028034175519,12.8706982135707,11.7448030247765,12.2095817826138,13.0206829035546,11.3319779383729,13.3848272676206,10.8308907629886,13.8859144430048,12.7236107477216,11.9931944582719,11.970023965822,12.7467812401715,11.8176299291097,12.8991752768838,10.5352743989319,14.1815308070616,11.9536491682227,12.4272610542879,12.5941574884345
"ENSG00000222047.4|C10orf55",7.78369456003518,8.16365791695941,8.44155803858761,7.43299208604932,8.19363633567262,8.07074966233594,7.66869145659608,8.32874534137753,7.42727186716661,8.52008060982798,7.59407609440128,8.35327638259331,8.04950821258383,7.89784426441076,7.38301375852909,8.5643387184655,7.4004457179598,8.54690675903479,7.53250560033815,8.41484687665644,7.85019424902134,7.91387200251121,8.304120208777
"ENSG00000156113.16|KCNMA1",9.73440521132398,8.68926263147264,8.55710165089461,9.7905836393936,9.01354912364801,9.30823910755979,9.41383265942837,8.63916264694806,9.8658334396855,8.55783440311114,9.33573402718495,9.08793381561169,9.50615821625724,8.9175096265394,10.220769857747,8.20289798504962,10.3289699821445,8.09469786065214,9.79032488318304,8.63334295961359,8.94735895496434,9.85844004213754,8.55543541683434
"ENSG00000228748.2|RP13-39P12.3",6.98357863240694,6.71234810290863,6.91582550647198,6.77585568255081,6.71362086028142,6.82109704667854,6.89990900419638,6.68429599842929,7.11593133049001,6.57999540482558,6.95118833683655,6.74473839847903,6.85836299980363,6.83756373551195,7.24829765153346,6.44762908378212,6.95842478779433,6.73750194752126,7.21598083397272,6.47994590134287,6.39120338881536,7.10877810927808,6.90532055121077
"ENSG00000224596.3|ZMIZ1-AS1",7.26050186317312,7.4137719010131,8.21471803166044,7.08461663280244,7.56248745681341,8.29298395782552,7.14442178202035,7.42441638143042,7.31036854522814,7.36390521895808,7.24394297218146,7.43033079200475,7.23864400403182,7.4356297601544,7.23855303344262,7.4357207307436,7.27369009570144,7.40058366848478,7.14807762297499,7.52619614121123,8.05494308178425,7.55575727600159,7.25112176349045
"ENSG00000165424.6|ZCCHC24",9.43409230275279,10.1398579891549,8.2724548962988,10.3611843106691,9.45990766056684,8.50703687503733,9.50628756176348,10.0802224307339,10.1153833695936,9.45856692231405,9.56051068513916,10.0134396067685,9.69354250890743,9.88040778300026,9.47752573709809,10.0964245548096,8.64900787410814,10.9249424177995,9.01364095535691,10.5603093365508,8.77929795554501,9.12610330634895,10.1881456056408
"ENSG00000185303.11|SFTPA2",7.9028214437353,7.48325837543105,6.6865609528733,8.34105411276893,7.33033098311624,7.41728618439368,7.59654373039623,7.34411613396856,8.24191104020252,7.14416877896384,7.43320554167087,7.95287427749548,7.98365314782837,7.40242667133798,7.91801067563592,7.46806914353044,8.41872768104011,6.96735213812624,8.65891712129141,6.72716269787495,6.81175155150937,7.92479235740824,7.62140213984086
"ENSG00000242600.2|MBL1P",7.48976623882861,6.54179753681091,6.29184303060351,7.58241239112829,6.87501962307376,6.76241704603221,7.24526401235425,6.74159398641911,7.43540979450963,6.5961539811299,7.35926406006969,6.67229971556985,6.94800508414172,7.08355869149781,7.34403056228295,6.68753321335658,7.02880437516794,7.0027594004716,7.13911016059862,6.89245361504091,7.09887373086239,7.32763121312254,6.32277010082065
"ENSG00000230091.2|TMEM254-AS1",7.4061936453858,7.05429996688723,7.16189705045712,7.42804094285004,7.03162680021865,6.93208820849071,7.69206022096437,6.99741636407073,7.61213144117896,6.84836217109408,7.46951858282993,6.99097502944312,7.14320072528673,7.31729288698631,7.45529303081793,7.00520058145512,7.25032087366726,7.21017273860578,7.84874173574542,6.61175187652762,7.38922828481045,7.32527128329672,6.90706522541863
